N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
330,,2,2,2,,,,,,,,,,
331,,2,2,2,,,,,,,,,,
332,,40,2,2,,,,,,,,,,
333,,2,2,2,,,,,,,,,,
334,,2,2,2,,,,,,,,,,
335,,30,2,2,,,,,,,,,,
336,,30,2,2,,,,,,,,,,
337,,5,2,2,,,,,,,,,,
338,,5,2,2,,,,,,,,,,
339,,2,2,2,,,,,,,,,,
340,,2,2,2,,,,,,,,,,
341,,2,2,2,,,,,,,,,,
342,,2,2,2,,,,,,,,,,
343,,3,2,2,,,,,,,,,,
344,,2,2,2,,,,,,,,,,
345,,2,2,2,,,,,,,,,,
346,,4,10,,,,,,,,,,,
347,,1,10,,,,,,,,,,,
348,,2,8,,,,,,,,,,,
349,,1,2,,,,,,,,,,,
350,,3,3,,,,,,,,,,,
351,,3,3,,,,,,,,,,,
352,,3,3,,,,,,,,,,,
353,,1,7,,,,,,,,,,,
354,,1,7,,,,,,,,,,,
355,,1,7,,,,,,,,,,,
356,,1,7,,,,,,,,,,,
357,,1,7,,,,,,,,,,,
358,,1,7,,,,,,,,,,,
359,,1,6,,,,,,,,,,,
360,,2,6,,,,,,,,,,,
361,,5,5,,,,,,,,,,,
362,,3,3,,,,,,,,,,,
363,,3,2,,,,,,,,,,,
364,,3,3,,,,,,,,,,,
365,,4,2,,,,,,,,,,,
366,,8,8,,,,,,,,,,,
367,,1,10,,,,,,,,,,,
368,,2,9,,,,,,,,,,,
369,,2,5,,,,,,,,,,,
370,,2,5,,,,,,,,,,,
371,,2,5,,,,,,,,,,,
372,,1,5,,,,,,,,,,,
373,,1,5,,,,,,,,,,,
374,,10,11,,,,,,,,,,,
375,,10,11,,,,,,,,,,,
376,,10,11,,,,,,,,,,,
377,,10,10,,,,,,,,,,,
378,,10,11,,,,,,,,,,,
379,,8,10,,,,,,,,,,,
380,,9,11,,,,,,,,,,,
381,,9,12,,,,,,,,,,,
382,,3,13,,,,,,,,,,,
383,,5,12,,,,,,,,,,,
384,,6,13,,,,,,,,,,,
385,,7,16,,,,,,,,,,,
386,,6,11,,,,,,,,,,,
387,,6,11,,,,,,,,,,,
388,,9,10,,,,,,,,,,,
389,,11,11,,,,,,,,,,,
390,,11,11,,,,,,,,,,,
391,,10,11,,,,,,,,,,,
392,,11,11,,,,,,,,,,,
393,,10,11,,,,,,,,,,,
394,,9,11,,,,,,,,,,,
395,,5,11,,,,,,,,,,,
396,,5,11,,,,,,,,,,,
397,,5,10,,,,,,,,,,,
398,,3,10,,,,,,,,,,,
399,,4,10,,,,,,,,,,,
400,,3,12,,,,,,,,,,,
401,,4,12,,,,,,,,,,,
402,,4,12,,,,,,,,,,,
403,,4,11,,,,,,,,,,,
404,,4,11,,,,,,,,,,,
405,,10,13,,,,,,,,,,,
406,,11,11,,,,,,,,,,,
407,,11,11,,,,,,,,,,,
408,,11,11,,,,,,,,,,,
409,,1,10,,,,,,,,,,,
410,2,1,1,,,,,,,,,,,
411,2,1,1,,,,,,,,,,,
412,2,1,1,,,,,,,,,,,
413,2,1,1,,,,,,,,,,,
414,2,1,1,,,,,,,,,,,
415,2,1,1,,,,,,,,,,,
416,2,1,1,,,,,,,,,,,
417,2,1,1,,,,,,,,,,,
418,2,1,1,,,,,,,,,,,
419,2,1,1,,,,,,,,,,,
420,2,1,1,,,,,,,,,,,
421,2,1,1,,,,,,,,,,,
422,2,1,1,,,,,,,,,,,
423,2,1,1,,,,,,,,,,,
424,2,1,1,,,,,,,,,,,
